WE_41B884,youssef,OPPO F9,STUDBME2,CMP_LAB3,El-modarag,Dydy,AndroidAP3AA9,sheren,01118809880,01141472186,Dlink,01118680688,STUDBME1,CMP_LAB4,Mariem,AG,C_H_S_3,C_H_S,C_H_S_2,C_H_S_4,01146880660,Daisy,CMP_LAB2,ARC3,Sbme-Staff,aya1,CMP_LAB1,location
-56,-81,-88,-58,-100,-100,-100,-41,-71,-100,-100,-88,-89,-44,-100,-62,-100,-72,-100,-74,-100,-100,-100,-100,-100,-100,-66,-100,HW 22
-58,-80,-87,-55,-100,-73,-100,-42,-67,-78,-75,-90,-100,-58,-71,-60,-70,-77,-100,-100,-73,-77,-100,-100,-100,-89,-100,-68,HW 22
-56,-100,-77,-46,-100,-100,-100,-41,-74,-80,-77,-100,-75,-52,-100,-66,-64,-100,-72,-76,-75,-78,-100,-100,-67,-100,-65,-68,HW 22
-57,-82,-100,-54,-100,-76,-100,-56,-69,-100,-100,-87,-100,-53,-100,-64,-75,-100,-100,-79,-100,-79,-100,-100,-100,-100,-74,-100,HW 22
-59,-81,-100,-57,-100,-68,-100,-55,-68,-100,-78,-89,-100,-53,-100,-63,-100,-74,-74,-73,-76,-79,-100,-100,-100,-84,-100,-100,HW 22
-62,-77,-87,-51,-70,-73,-100,-51,-81,-100,-100,-84,-77,-54,-100,-63,-100,-75,-79,-76,-75,-79,-100,-100,-74,-100,-100,-100,HW 22
-58,-80,-82,-56,-100,-71,-100,-59,-73,-100,-77,-86,-100,-54,-100,-58,-100,-71,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,HW 22
-59,-100,-87,-49,-100,-70,-100,-35,-74,-81,-100,-87,-100,-47,-100,-64,-59,-100,-74,-100,-74,-77,-100,-100,-100,-100,-100,-100,HW 22
-50,-100,-100,-56,-100,-100,-100,-35,-75,-100,-100,-88,-100,-48,-100,-53,-70,-73,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,HW 22
-64,-100,-100,-59,-100,-69,-74,-100,-100,-79,-80,-81,-100,-49,-100,-72,-100,-68,-68,-100,-69,-100,-100,-100,-100,-100,-66,-100,HW 22
-54,-83,-82,-58,-100,-100,-78,-49,-75,-79,-85,-83,-82,-53,-100,-64,-100,-77,-79,-100,-74,-81,-100,-100,-100,-100,-100,-67,HW 22
-70,-83,-93,-66,-100,-73,-77,-31,-72,-85,-80,-81,-80,-52,-100,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-66,-100,HW 22
-68,-82,-100,-71,-100,-100,-83,-39,-70,-93,-82,-78,-83,-100,-100,-100,-100,-100,-85,-100,-84,-84,-100,-100,-100,-100,-100,-100,HW 22
-63,-86,-93,-67,-75,-100,-85,-35,-67,-83,-80,-78,-84,-51,-76,-60,-100,-80,-100,-79,-100,-83,-100,-100,-100,-100,-64,-100,HW 22
-73,-72,-90,-68,-100,-76,-75,-39,-74,-82,-80,-85,-79,-100,-100,-66,-100,-77,-100,-100,-77,-100,-100,-100,-100,-100,-63,-100,HW 22
-56,-78,-81,-64,-100,-100,-76,-39,-78,-100,-83,-89,-83,-48,-100,-66,-100,-100,-80,-100,-78,-87,-100,-100,-79,-100,-64,-100,HW 22
-54,-79,-84,-58,-68,-100,-78,-43,-79,-100,-83,-88,-76,-54,-67,-64,-73,-70,-71,-72,-72,-88,-100,-65,-100,-100,-100,-67,HW 22
-59,-79,-93,-63,-100,-76,-100,-35,-72,-79,-77,-87,-78,-62,-100,-71,-70,-76,-100,-100,-75,-79,-100,-100,-100,-100,-100,-100,HW 22
-55,-77,-100,-64,-100,-100,-82,-38,-70,-79,-80,-100,-78,-59,-100,-100,-100,-69,-70,-72,-72,-79,-100,-100,-100,-100,-100,-100,HW 22
-59,-100,-88,-63,-100,-100,-82,-37,-65,-100,-82,-100,-100,-53,-67,-100,-100,-79,-74,-75,-100,-100,-82,-100,-100,-100,-100,-100,HW 22
-60,-100,-100,-56,-100,-64,-100,-49,-70,-100,-100,-100,-100,-100,-100,-53,-100,-100,-74,-100,-100,-100,-100,-100,-74,-100,-100,-65,HW 22
-61,-100,-84,-55,-69,-68,-92,-39,-100,-87,-100,-100,-100,-50,-69,-57,-100,-100,-100,-72,-100,-100,-100,-100,-69,-100,-100,-66,HW 22
-60,-100,-100,-59,-100,-69,-100,-38,-54,-81,-85,-100,-100,-46,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-59,-100,-80,-53,-100,-71,-100,-100,-59,-76,-100,-100,-100,-56,-71,-100,-100,-100,-100,-100,-100,-82,-100,-67,-100,-100,-75,-100,HW 22
-59,-80,-100,-63,-100,-73,-88,-54,-68,-80,-100,-100,-100,-59,-69,-67,-66,-100,-100,-100,-72,-80,-100,-100,-100,-100,-100,-67,HW 22
-61,-77,-100,-63,-70,-70,-77,-46,-58,-82,-83,-100,-83,-100,-69,-100,-100,-100,-100,-100,-100,-85,-100,-73,-100,-100,-65,-71,HW 22
-67,-76,-100,-64,-71,-100,-87,-49,-57,-88,-88,-100,-91,-56,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-74,-100,HW 22
-60,-72,-87,-59,-100,-100,-89,-44,-50,-85,-88,-100,-83,-55,-71,-65,-71,-100,-100,-100,-100,-83,-82,-67,-100,-100,-66,-70,HW 22
-60,-83,-79,-59,-73,-72,-85,-46,-65,-80,-89,-100,-87,-100,-75,-68,-74,-100,-74,-73,-100,-81,-100,-73,-100,-100,-100,-74,HW 22
-55,-73,-85,-65,-70,-69,-75,-36,-65,-80,-78,-100,-100,-54,-100,-71,-70,-79,-100,-100,-77,-79,-100,-100,-100,-100,-100,-65,HW 22
-64,-83,-78,-63,-100,-70,-79,-48,-60,-92,-100,-100,-92,-100,-100,-66,-70,-100,-100,-100,-100,-91,-89,-100,-100,-100,-100,-67,HW 22
-73,-80,-90,-69,-100,-71,-90,-43,-55,-86,-91,-100,-88,-100,-100,-73,-100,-78,-77,-79,-77,-86,-100,-100,-100,-100,-100,-100,HW 22
-65,-76,-93,-65,-100,-71,-80,-46,-61,-84,-86,-100,-85,-61,-100,-65,-75,-100,-100,-100,-85,-86,-100,-100,-76,-100,-100,-100,HW 22
-63,-81,-100,-68,-100,-68,-84,-44,-55,-88,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-88,-83,-100,-100,-100,-77,-100,HW 22
-65,-78,-100,-79,-100,-100,-81,-29,-53,-87,-82,-100,-100,-55,-100,-71,-74,-84,-84,-100,-100,-87,-100,-100,-100,-100,-100,-100,HW 22
-63,-81,-91,-70,-100,-100,-83,-39,-66,-81,-78,-100,-81,-58,-100,-68,-100,-100,-100,-100,-76,-80,-100,-72,-100,-100,-100,-73,HW 22
