STUDBME2,OPPO F9,Daisy,Alariny,CMP_LAB3,El-lab,CMP_LAB2,WE_41B884,C_H_S_4,C_H_S,AndroidAP3AA9,CMP_LAB1,C_H_S_2,CMP_LAB4,01118680688,C_H_S_3,Mo_Hamza,STUDBME1,Farouk,AG,khodair,01146880660,01118809880,01141472186,Dlink,location
-55,-80,-100,-60,-100,-44,-100,-68,-100,-100,-71,-100,-100,-74,-100,-66,-65,-100,-100,-100,-100,-83,-100,-86,-100,EL 11
-52,-83,-58,-60,-100,-49,-100,-66,-100,-65,-100,-74,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-87,-100,EL 11
-58,-84,-54,-58,-100,-48,-76,-68,-72,-74,-71,-100,-75,-100,-83,-75,-65,-100,-100,-100,-100,-84,-100,-100,-87,EL 11
-59,-86,-53,-51,-100,-46,-100,-66,-67,-100,-65,-100,-100,-100,-100,-69,-63,-100,-100,-73,-100,-100,-100,-100,-100,EL 11
-57,-100,-53,-53,-100,-50,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-89,-92,-88,-100,EL 11
-60,-83,-62,-58,-100,-47,-100,-64,-100,-70,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-65,-87,-100,-60,-100,-50,-100,-69,-71,-100,-69,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-56,-100,-53,-56,-100,-49,-78,-67,-72,-73,-100,-77,-70,-100,-100,-100,-69,-100,-84,-74,-100,-100,-100,-100,-89,EL 11
-56,-86,-54,-52,-100,-46,-76,-68,-71,-71,-65,-100,-70,-76,-90,-72,-70,-81,-100,-100,-100,-100,-100,-100,-100,EL 11
-63,-100,-53,-54,-100,-50,-100,-65,-100,-100,-64,-76,-100,-65,-89,-100,-69,-100,-80,-64,-100,-100,-89,-85,-100,EL 11
