Daisy,STUDBME2,WE_41B884,Alariny,El-lab,CMP_LAB4,CMP_LAB1,Mo_Hamza,C_H_S_3,C_H_S,C_H_S_4,C_H_S_2,AndroidAP3AA9,OPPO F9,CMP_LAB3,CMP_LAB2,Dydy,01146880660,Mariem,Dlink,location
-47,-56,-59,-54,-58,-100,-76,-61,-100,-74,-72,-100,-100,-84,-100,-100,-100,-100,-100,-90,EL 12
-57,-58,-59,-55,-55,-100,-100,-100,-100,-57,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,EL 12
-55,-55,-60,-54,-56,-100,-75,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100,EL 12
-68,-56,-63,-100,-57,-70,-68,-72,-57,-56,-57,-58,-59,-80,-100,-100,-89,-100,-100,-100,EL 12
-55,-54,-57,-52,-52,-100,-100,-59,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,EL 12
-56,-51,-65,-54,-54,-100,-100,-100,-65,-64,-67,-65,-100,-100,-71,-100,-100,-100,-100,-100,EL 12
-67,-64,-69,-51,-54,-71,-72,-62,-100,-67,-69,-100,-72,-78,-73,-73,-100,-100,-100,-100,EL 12
-52,-54,-66,-64,-61,-100,-100,-64,-100,-70,-100,-100,-100,-81,-77,-100,-92,-100,-100,-100,EL 12
-54,-53,-64,-51,-54,-70,-69,-100,-100,-100,-100,-100,-100,-83,-69,-72,-93,-84,-100,-100,EL 12
-56,-56,-63,-49,-52,-72,-70,-60,-68,-68,-67,-68,-65,-82,-69,-69,-100,-89,-100,-88,EL 12
-53,-58,-59,-49,-48,-100,-100,-69,-74,-74,-73,-73,-72,-83,-100,-100,-94,-90,-100,-100,EL 12
-54,-52,-66,-48,-52,-100,-100,-72,-71,-72,-70,-74,-100,-85,-100,-100,-100,-79,-100,-100,EL 12
-48,-56,-64,-47,-52,-100,-100,-64,-100,-100,-100,-100,-72,-79,-100,-100,-100,-80,-100,-100,EL 12
-46,-54,-68,-50,-48,-100,-100,-66,-100,-73,-100,-73,-72,-81,-100,-100,-100,-89,-100,-89,EL 12
-54,-53,-71,-58,-57,-71,-100,-67,-69,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,EL 12
