WE_41B884,STUDBME2,Daisy,01118680688,01141472186,01118809880,RehabLab,01146880660,Alariny,El-lab,OPPO F9,CUFE,C_H_S_3,C_H_S_4,Etisalat,AndroidAP3AA9,AG,youssef,aya1,Dydy,C_H_S,C_H_S_2,STUDBME1,CMP_LAB1,CMP_LAB2,CMP_LAB3,Farouk,Mo_Hamza,sheren,location
-49,-46,-79,-100,-100,-100,-72,-100,-100,-100,-74,-100,-69,-67,-76,-82,-54,-100,-100,-75,-68,-66,-56,-100,-58,-100,-65,-79,-100,HW 32
-48,-52,-75,-100,-100,-100,-73,-100,-65,-100,-73,-69,-100,-100,-85,-100,-55,-100,-100,-70,-100,-100,-66,-100,-100,-100,-61,-81,-100,HW 32
-46,-50,-78,-100,-100,-100,-100,-100,-64,-100,-75,-100,-79,-56,-81,-100,-68,-100,-100,-83,-55,-56,-63,-59,-100,-100,-100,-74,-100,HW 32
-49,-40,-78,-100,-100,-100,-100,-100,-100,-100,-77,-100,-59,-58,-100,-100,-69,-100,-100,-72,-61,-59,-100,-100,-100,-100,-69,-100,-100,HW 32
-51,-49,-72,-100,-100,-90,-68,-100,-100,-72,-79,-100,-59,-58,-100,-86,-53,-100,-100,-79,-58,-58,-57,-57,-59,-59,-63,-100,-100,HW 32
-52,-45,-72,-100,-100,-100,-100,-100,-100,-100,-78,-100,-58,-60,-100,-74,-55,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 32
-47,-47,-70,-100,-100,-100,-70,-100,-57,-100,-70,-71,-65,-66,-100,-72,-50,-100,-100,-74,-68,-66,-58,-61,-58,-60,-63,-100,-100,HW 32
-52,-47,-69,-100,-100,-100,-100,-100,-100,-100,-63,-100,-69,-72,-100,-73,-50,-100,-100,-85,-100,-100,-100,-100,-100,-54,-100,-71,-100,HW 32
-53,-57,-62,-100,-100,-100,-73,-100,-59,-100,-66,-100,-66,-66,-100,-64,-50,-100,-90,-100,-66,-64,-100,-55,-100,-100,-67,-100,-100,HW 32
-52,-45,-69,-92,-100,-86,-71,-100,-57,-67,-67,-100,-68,-67,-100,-64,-49,-100,-100,-85,-65,-68,-100,-100,-54,-55,-100,-75,-100,HW 32
