STUDBME2,01146880660,OPPO F9,WE_41B884,RehabLab,TP-LINK_AP_7094,01118680688,D-Link_DAP-1360,STUDBME1,Farouk,CMP_LAB1,CMP_LAB3,CMP_LAB2,CMP_LAB4,BMEStudentLab3,CUFE,01118809880,Mo_Hamza,AG,AndroidAP3AA9,Mariem,location
-55,-100,-64,-58,-100,-100,-100,-100,-70,-58,-100,-42,-100,-41,-100,-54,-91,-100,-54,-53,-100,HW 33
-52,-100,-67,-60,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-54,-100,-100,-60,-46,-100,HW 33
-55,-100,-69,-58,-70,-100,-100,-100,-60,-100,-41,-39,-39,-100,-80,-57,-100,-100,-55,-50,-100,HW 33
-59,-100,-67,-57,-100,-100,-100,-100,-100,-59,-45,-100,-100,-47,-80,-56,-100,-100,-100,-52,-100,HW 33
-55,-90,-67,-58,-60,-100,-100,-100,-74,-57,-42,-46,-42,-100,-100,-100,-100,-100,-47,-48,-76,HW 33
-54,-100,-67,-53,-58,-72,-100,-86,-58,-55,-100,-100,-100,-100,-100,-100,-100,-70,-62,-45,-78,HW 33
-47,-100,-64,-59,-100,-100,-100,-100,-63,-68,-46,-47,-100,-100,-89,-61,-100,-65,-49,-58,-81,HW 33
-47,-100,-55,-52,-100,-100,-100,-100,-58,-71,-47,-100,-100,-100,-100,-67,-100,-100,-62,-46,-79,HW 33
-54,-100,-56,-54,-100,-100,-100,-100,-56,-66,-100,-46,-100,-48,-100,-100,-100,-62,-51,-45,-77,HW 33
-50,-100,-54,-53,-58,-100,-100,-100,-65,-55,-47,-100,-54,-50,-92,-62,-100,-100,-57,-50,-100,HW 33
-57,-100,-47,-51,-56,-100,-100,-89,-69,-71,-47,-100,-49,-100,-100,-62,-100,-100,-50,-60,-76,HW 33
-51,-100,-67,-54,-100,-100,-100,-84,-68,-57,-100,-100,-100,-100,-100,-100,-100,-100,-57,-54,-80,HW 33
-52,-100,-68,-62,-100,-100,-100,-100,-59,-64,-48,-45,-100,-100,-100,-66,-100,-100,-60,-51,-74,HW 33
-54,-100,-65,-58,-100,-100,-100,-100,-68,-58,-78,-100,-46,-100,-100,-100,-100,-64,-51,-48,-100,HW 33
-53,-100,-71,-61,-69,-100,-100,-100,-67,-58,-100,-50,-100,-100,-79,-100,-100,-100,-56,-46,-73,HW 33
-54,-100,-68,-59,-65,-100,-100,-85,-100,-67,-43,-100,-100,-43,-100,-54,-88,-100,-60,-51,-100,HW 33
-57,-100,-65,-53,-63,-100,-88,-100,-69,-64,-100,-100,-100,-100,-100,-53,-100,-100,-59,-100,-100,HW 33
-48,-100,-56,-61,-58,-100,-100,-85,-69,-64,-100,-49,-100,-100,-100,-63,-100,-100,-63,-50,-82,HW 33
-59,-100,-73,-68,-100,-100,-100,-100,-59,-59,-44,-43,-43,-44,-100,-56,-100,-100,-59,-55,-79,HW 33
-55,-100,-56,-59,-57,-100,-100,-100,-61,-50,-100,-31,-37,-100,-100,-56,-100,-70,-57,-46,-100,HW 33
-52,-100,-66,-60,-68,-69,-100,-100,-59,-51,-39,-40,-37,-39,-100,-100,-100,-100,-61,-56,-81,HW 33
-58,-100,-66,-59,-61,-100,-100,-81,-57,-57,-100,-100,-38,-100,-100,-61,-100,-100,-57,-49,-100,HW 33
-51,-100,-63,-55,-100,-100,-100,-83,-100,-54,-36,-35,-35,-40,-100,-55,-100,-100,-50,-47,-100,HW 33
-52,-100,-63,-54,-67,-100,-100,-100,-73,-100,-100,-43,-41,-44,-100,-54,-100,-71,-59,-48,-100,HW 33
-55,-100,-60,-54,-62,-100,-100,-85,-72,-58,-100,-100,-100,-100,-100,-57,-100,-68,-100,-35,-100,HW 33
-52,-100,-70,-55,-62,-100,-100,-83,-100,-54,-100,-100,-100,-100,-100,-62,-92,-69,-100,-36,-78,HW 33
-57,-100,-63,-55,-60,-100,-100,-100,-69,-54,-100,-100,-100,-100,-100,-58,-93,-100,-58,-41,-76,HW 33
-48,-92,-63,-56,-100,-100,-100,-100,-67,-53,-46,-100,-45,-46,-100,-60,-100,-74,-56,-45,-77,HW 33
-52,-89,-73,-54,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-55,-100,-76,-58,-46,-100,HW 33
-49,-100,-65,-57,-100,-100,-100,-100,-54,-53,-100,-100,-100,-42,-100,-60,-100,-73,-52,-49,-77,HW 33
-47,-100,-68,-55,-100,-100,-100,-89,-71,-56,-41,-100,-42,-100,-100,-74,-100,-71,-58,-52,-100,HW 33
-55,-100,-67,-56,-100,-100,-100,-85,-53,-56,-100,-100,-100,-100,-85,-53,-100,-68,-59,-46,-71,HW 33
-45,-100,-72,-55,-59,-100,-100,-87,-59,-52,-100,-40,-100,-44,-100,-57,-100,-72,-59,-46,-67,HW 33
-51,-100,-71,-67,-100,-71,-100,-100,-61,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-57,-78,HW 33
-51,-90,-70,-55,-69,-74,-100,-100,-100,-55,-100,-100,-50,-100,-100,-60,-100,-77,-59,-58,-100,HW 33
-50,-100,-70,-58,-100,-100,-91,-82,-100,-62,-48,-48,-46,-49,-71,-65,-88,-69,-57,-43,-100,HW 33
-54,-93,-76,-56,-100,-78,-100,-100,-65,-59,-100,-100,-100,-100,-73,-57,-100,-100,-56,-38,-100,HW 33
-53,-84,-63,-65,-64,-100,-100,-83,-66,-55,-100,-100,-100,-100,-76,-55,-83,-100,-63,-50,-100,HW 33
-57,-100,-73,-67,-74,-100,-100,-77,-62,-57,-49,-48,-100,-100,-100,-59,-100,-85,-61,-46,-100,HW 33
-56,-89,-74,-62,-68,-64,-100,-100,-70,-55,-100,-100,-100,-100,-79,-57,-100,-100,-68,-55,-80,HW 33
-57,-87,-65,-61,-100,-100,-100,-100,-100,-53,-48,-48,-100,-100,-69,-55,-85,-100,-62,-54,-100,HW 33
-56,-100,-77,-60,-66,-68,-100,-74,-66,-55,-100,-100,-51,-100,-76,-52,-100,-100,-58,-47,-85,HW 33
-59,-100,-72,-65,-71,-100,-100,-75,-66,-48,-75,-53,-100,-100,-77,-55,-100,-100,-55,-39,-83,HW 33
-56,-100,-70,-57,-100,-100,-100,-81,-100,-48,-100,-46,-45,-100,-82,-59,-100,-100,-57,-44,-100,HW 33
-58,-100,-80,-62,-66,-100,-100,-85,-100,-47,-43,-100,-100,-45,-100,-56,-89,-100,-54,-38,-80,HW 33
-54,-100,-71,-67,-67,-72,-100,-80,-60,-53,-45,-100,-100,-100,-75,-60,-89,-100,-100,-50,-78,HW 33
-55,-100,-72,-65,-100,-100,-92,-100,-100,-51,-58,-57,-61,-58,-73,-56,-100,-81,-67,-52,-100,HW 33
-57,-100,-73,-64,-100,-100,-100,-79,-74,-52,-54,-100,-100,-54,-100,-57,-100,-100,-62,-60,-100,HW 33
-54,-100,-67,-63,-70,-71,-100,-85,-69,-51,-43,-100,-45,-100,-73,-58,-86,-77,-59,-43,-73,HW 33
-53,-100,-70,-62,-69,-100,-93,-100,-100,-68,-100,-100,-100,-55,-79,-60,-100,-100,-65,-51,-100,HW 33
-53,-100,-69,-59,-71,-100,-100,-83,-100,-55,-100,-100,-100,-48,-74,-57,-100,-79,-68,-48,-73,HW 33
-59,-92,-67,-65,-100,-72,-90,-100,-63,-64,-52,-52,-51,-100,-76,-57,-90,-100,-56,-67,-100,HW 33
-55,-100,-76,-64,-100,-100,-100,-85,-71,-64,-100,-48,-50,-100,-75,-56,-100,-100,-67,-32,-100,HW 33
-53,-100,-82,-62,-63,-100,-100,-81,-66,-50,-100,-100,-100,-100,-72,-63,-91,-100,-63,-46,-100,HW 33
-53,-100,-73,-59,-72,-67,-100,-83,-100,-53,-100,-57,-49,-50,-74,-66,-100,-79,-100,-60,-100,HW 33
-57,-100,-72,-66,-100,-100,-89,-72,-62,-52,-100,-54,-100,-54,-72,-60,-89,-75,-65,-44,-100,HW 33
-59,-90,-73,-60,-78,-70,-90,-77,-72,-44,-49,-50,-51,-49,-70,-68,-100,-76,-73,-44,-100,HW 33
-64,-91,-70,-59,-100,-74,-100,-74,-61,-50,-56,-56,-54,-56,-74,-59,-100,-100,-64,-53,-100,HW 33
-65,-100,-81,-59,-71,-100,-100,-79,-100,-49,-100,-100,-100,-52,-73,-62,-100,-100,-100,-100,-100,HW 33
-54,-100,-83,-59,-73,-66,-92,-82,-58,-56,-58,-100,-58,-59,-72,-60,-100,-100,-66,-53,-80,HW 33
-58,-92,-73,-62,-74,-100,-89,-80,-58,-50,-57,-55,-58,-56,-69,-100,-100,-100,-68,-50,-80,HW 33
-58,-100,-79,-58,-70,-67,-100,-100,-69,-58,-57,-57,-56,-56,-74,-66,-88,-100,-65,-48,-100,HW 33
-58,-100,-73,-59,-69,-100,-88,-81,-58,-53,-51,-100,-53,-100,-71,-58,-100,-100,-72,-50,-82,HW 33
-57,-100,-69,-59,-100,-66,-91,-76,-100,-49,-47,-46,-45,-45,-76,-100,-86,-100,-68,-55,-100,HW 33
