WE_41B884,STUDBME2,Alaa1,RehabLab,STUDBME1,CMP_LAB4,Mariem,CMP_LAB1,C_H_S,C_H_S_2,node,AndroidAP3AA9,AG,01146880660,OPPO F9,Dlink,C_H_S_3,Gamil,01118809880,youssef,Alariny,El-lab,CMP_LAB3,Farouk,CUFE,C_H_S_4,IE_Lab,01141472186,01118680688,CMP_LAB2,Alaa,location
-45,-43,-71,-100,-52,-100,-100,-59,-55,-55,-100,-45,-59,-93,-86,-100,-54,-100,-100,-100,-60,-100,-100,-100,-100,-54,-100,-91,-100,-60,-100,HW 31
-49,-48,-72,-76,-100,-100,-71,-100,-100,-55,-84,-100,-52,-100,-81,-100,-51,-100,-100,-91,-59,-100,-61,-100,-100,-54,-100,-85,-90,-69,-75,HW 31
-47,-44,-100,-100,-47,-57,-65,-60,-60,-71,-100,-46,-55,-100,-80,-100,-100,-100,-100,-100,-100,-69,-59,-100,-100,-58,-100,-100,-100,-100,-100,HW 31
-42,-51,-72,-100,-64,-100,-69,-100,-100,-100,-64,-50,-56,-100,-72,-100,-54,-100,-100,-100,-100,-100,-57,-70,-100,-57,-100,-100,-83,-53,-70,HW 31
-49,-42,-70,-100,-100,-64,-68,-61,-55,-59,-100,-50,-53,-94,-66,-100,-59,-100,-100,-100,-100,-74,-60,-68,-100,-56,-100,-100,-100,-100,-100,HW 31
-47,-46,-75,-76,-100,-60,-100,-59,-100,-100,-71,-44,-54,-91,-85,-100,-54,-100,-100,-88,-100,-100,-61,-100,-100,-53,-100,-100,-100,-100,-74,HW 31
-46,-47,-76,-100,-57,-59,-66,-61,-57,-57,-75,-40,-63,-100,-78,-100,-100,-100,-100,-100,-74,-100,-59,-71,-100,-100,-100,-100,-100,-61,-100,HW 31
-47,-49,-75,-100,-58,-59,-70,-100,-59,-58,-72,-41,-100,-100,-82,-100,-58,-100,-100,-100,-100,-100,-59,-100,-100,-60,-100,-100,-100,-100,-100,HW 31
-46,-49,-83,-100,-66,-100,-70,-100,-59,-59,-76,-47,-57,-100,-81,-100,-59,-100,-100,-100,-62,-100,-100,-100,-100,-58,-100,-100,-100,-58,-100,HW 31
-46,-44,-75,-100,-63,-66,-84,-62,-63,-62,-100,-41,-56,-100,-77,-100,-62,-100,-100,-100,-67,-100,-67,-67,-100,-62,-100,-100,-100,-67,-100,HW 31
