WE_41B884,STUDBME2,01141472186,01146880660,01118809880,youssef,STUDBME1,aya1,Mariem,ARC3,01118680688,C_H_S_4,AndroidAP3AA9,Dlink,TP-LINK_AP_7094,sheren,CMP_LAB4,Pcg,El-modarag,TP-Link_463C,AG,IE_Lab,CMP_LAB3,khodair,C_H_S,DIRECT-00-HP M130f LaserJet,HP-Print-47-LaserJet Pro MFP,C_H_S_2,location
-74,-70,-86,-83,-87,-85,-70,-70,-100,-100,-86,-100,-41,-85,-100,-100,-100,-100,-77,-95,-78,-100,-73,-100,-100,-100,-100,-100,HW 21
-65,-68,-86,-85,-87,-75,-67,-57,-76,-85,-84,-78,-45,-91,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-62,-65,-85,-87,-86,-85,-70,-69,-76,-83,-84,-83,-36,-82,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-81,-100,-100,-83,HW 21
-73,-81,-85,-82,-86,-89,-100,-57,-79,-77,-87,-100,-47,-81,-100,-100,-100,-100,-85,-96,-100,-100,-100,-100,-100,-100,-100,-82,HW 21
-75,-79,-79,-79,-78,-100,-71,-51,-78,-82,-81,-90,-41,-83,-100,-100,-100,-100,-81,-89,-100,-100,-100,-100,-88,-100,-100,-100,HW 21
-78,-81,-74,-75,-72,-94,-74,-52,-100,-100,-78,-100,-47,-81,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-81,-81,-80,-83,-83,-88,-76,-51,-86,-100,-89,-100,-41,-75,-100,-100,-100,-86,-100,-88,-80,-100,-100,-100,-100,-100,-100,-100,HW 21
-81,-80,-82,-78,-75,-82,-74,-65,-82,-100,-79,-100,-48,-77,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-89,-100,-100,-91,HW 21
-87,-81,-79,-78,-77,-94,-100,-65,-90,-100,-80,-100,-50,-82,-100,-100,-100,-89,-86,-93,-85,-80,-100,-100,-100,-100,-76,-85,HW 21
-79,-76,-85,-83,-77,-86,-71,-50,-78,-82,-100,-100,-42,-90,-100,-100,-100,-100,-83,-92,-100,-87,-100,-100,-100,-100,-100,-100,HW 21
-72,-74,-80,-81,-81,-81,-71,-61,-100,-100,-80,-100,-55,-80,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-73,-84,-82,-79,-100,-80,-100,-64,-71,-75,-83,-84,-41,-84,-100,-74,-100,-100,-82,-100,-84,-100,-100,-100,-100,-87,-100,-100,HW 21
-75,-71,-78,-80,-79,-79,-70,-51,-100,-100,-77,-86,-44,-87,-100,-70,-100,-100,-79,-100,-80,-100,-100,-100,-85,-100,-100,-100,HW 21
-78,-77,-100,-74,-73,-100,-100,-42,-86,-100,-67,-100,-46,-82,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,HW 21
-100,-80,-73,-75,-75,-100,-77,-41,-79,-100,-75,-87,-43,-80,-100,-100,-100,-90,-89,-100,-100,-100,-100,-100,-85,-100,-100,-100,HW 21
-76,-83,-72,-72,-73,-92,-75,-44,-79,-100,-75,-100,-42,-81,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,HW 21
-79,-100,-74,-74,-73,-100,-75,-46,-100,-100,-72,-100,-47,-76,-100,-100,-100,-81,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,HW 21
-78,-76,-75,-80,-78,-84,-72,-55,-84,-100,-76,-100,-45,-83,-100,-75,-100,-90,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,HW 21
-76,-81,-75,-77,-76,-88,-100,-56,-100,-100,-76,-100,-44,-90,-100,-74,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,HW 21
-76,-76,-75,-74,-100,-83,-74,-58,-77,-100,-77,-85,-47,-84,-100,-74,-100,-100,-90,-100,-78,-100,-100,-100,-86,-100,-100,-100,HW 21
-77,-81,-77,-81,-80,-85,-63,-62,-100,-100,-82,-100,-78,-86,-90,-100,-100,-83,-100,-100,-74,-100,-100,-100,-83,-100,-100,-84,HW 21
-70,-77,-75,-82,-81,-100,-100,-58,-83,-100,-100,-100,-48,-83,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-84,-100,HW 21
-72,-79,-100,-100,-80,-100,-75,-59,-100,-89,-100,-89,-40,-100,-100,-75,-100,-100,-84,-100,-83,-100,-100,-100,-88,-100,-81,-100,HW 21
-75,-79,-100,-82,-83,-100,-100,-54,-86,-100,-100,-100,-44,-84,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-80,-100,HW 21
-78,-76,-100,-100,-83,-100,-67,-53,-76,-85,-100,-100,-37,-89,-100,-76,-100,-100,-87,-100,-87,-100,-100,-100,-90,-100,-75,-100,HW 21
-72,-80,-100,-82,-83,-90,-100,-55,-77,-88,-100,-100,-37,-100,-100,-77,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-75,-83,-100,-100,-83,-100,-100,-61,-78,-84,-100,-100,-33,-85,-100,-100,-100,-90,-81,-100,-100,-100,-100,-100,-100,-100,-78,-100,HW 21
-76,-81,-78,-82,-78,-83,-75,-52,-78,-79,-78,-100,-37,-81,-100,-100,-84,-100,-82,-100,-85,-100,-85,-100,-86,-100,-100,-86,HW 21
-75,-85,-77,-76,-78,-85,-100,-51,-75,-81,-75,-100,-52,-83,-100,-100,-100,-89,-100,-100,-81,-100,-100,-100,-100,-100,-81,-100,HW 21
-82,-80,-82,-80,-85,-86,-73,-50,-78,-100,-81,-100,-42,-84,-100,-74,-100,-87,-100,-100,-83,-100,-80,-100,-100,-100,-100,-100,HW 21
-77,-76,-81,-100,-87,-82,-75,-51,-74,-84,-82,-100,-43,-83,-100,-74,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-75,-74,-86,-88,-87,-100,-100,-56,-79,-82,-86,-100,-46,-85,-100,-100,-100,-100,-77,-100,-78,-100,-100,-100,-100,-100,-78,-100,HW 21
-72,-75,-87,-85,-83,-94,-64,-58,-77,-78,-83,-79,-41,-89,-100,-72,-100,-100,-100,-100,-82,-91,-88,-100,-80,-100,-100,-100,HW 21
-70,-71,-87,-83,-88,-86,-70,-66,-74,-100,-100,-100,-44,-80,-100,-100,-75,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-87,HW 21
-68,-69,-81,-84,-82,-82,-67,-59,-72,-81,-82,-100,-48,-84,-100,-100,-100,-100,-83,-100,-79,-100,-78,-100,-100,-100,-100,-100,HW 21
-73,-80,-86,-89,-86,-92,-57,-66,-82,-83,-84,-100,-44,-84,-100,-78,-78,-100,-100,-100,-73,-100,-75,-100,-85,-100,-100,-87,HW 21
-67,-73,-84,-85,-100,-81,-68,-65,-72,-100,-87,-100,-45,-80,-100,-100,-100,-100,-83,-100,-80,-100,-100,-100,-84,-100,-100,-100,HW 21
-74,-71,-85,-84,-85,-81,-71,-67,-73,-100,-85,-82,-45,-80,-100,-72,-100,-100,-83,-100,-83,-100,-100,-100,-81,-100,-100,-100,HW 21
-71,-74,-100,-100,-100,-78,-73,-67,-73,-100,-85,-100,-43,-88,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-85,-100,-100,-87,HW 21
-68,-70,-100,-100,-83,-77,-100,-57,-100,-100,-100,-79,-45,-81,-100,-100,-100,-100,-79,-100,-100,-100,-76,-100,-100,-100,-100,-100,HW 21
-74,-78,-86,-86,-85,-80,-69,-66,-71,-82,-88,-100,-58,-80,-100,-82,-100,-100,-100,-100,-72,-100,-81,-100,-100,-100,-100,-100,HW 21
-72,-75,-100,-100,-100,-88,-64,-64,-78,-75,-100,-100,-59,-89,-100,-74,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-89,HW 21
-66,-68,-69,-71,-75,-100,-100,-55,-72,-100,-80,-100,-58,-84,-100,-66,-76,-100,-77,-100,-74,-100,-100,-100,-100,-100,-100,-100,HW 21
-66,-67,-87,-85,-89,-100,-70,-66,-77,-100,-86,-100,-53,-84,-100,-73,-100,-100,-79,-100,-80,-100,-100,-100,-100,-100,-100,-78,HW 21
-70,-66,-81,-81,-80,-85,-63,-62,-70,-100,-79,-80,-59,-85,-100,-100,-100,-100,-77,-100,-100,-100,-78,-100,-100,-100,-100,-100,HW 21
-72,-68,-77,-80,-76,-100,-63,-51,-74,-83,-100,-100,-53,-87,-100,-78,-100,-100,-79,-100,-72,-100,-100,-100,-82,-100,-100,-82,HW 21
-72,-74,-77,-79,-100,-100,-68,-55,-73,-78,-77,-100,-52,-87,-100,-77,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,HW 21
-69,-66,-87,-79,-81,-89,-100,-65,-69,-80,-100,-78,-45,-90,-100,-100,-100,-100,-77,-100,-73,-100,-100,-100,-100,-100,-100,-100,HW 21
-72,-74,-81,-88,-86,-80,-62,-69,-78,-100,-87,-100,-45,-86,-100,-70,-100,-100,-77,-100,-79,-100,-100,-100,-75,-100,-100,-75,HW 21
-65,-69,-83,-100,-100,-86,-67,-66,-100,-81,-100,-78,-46,-90,-100,-72,-100,-100,-100,-100,-100,-100,-77,-100,-80,-100,-100,-78,HW 21
-67,-67,-100,-82,-100,-84,-100,-69,-72,-78,-100,-100,-53,-83,-100,-71,-100,-100,-76,-100,-74,-100,-100,-100,-100,-100,-100,-87,HW 21
-70,-70,-100,-100,-83,-88,-60,-72,-69,-76,-100,-100,-47,-88,-100,-67,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-75,HW 21
-69,-70,-83,-82,-83,-82,-64,-67,-74,-78,-100,-74,-46,-100,-100,-100,-100,-100,-74,-100,-71,-100,-76,-100,-78,-100,-100,-100,HW 21
-65,-63,-81,-83,-82,-100,-64,-75,-77,-82,-81,-80,-46,-88,-100,-77,-100,-100,-76,-100,-73,-100,-100,-100,-80,-100,-100,-81,HW 21
