youssef,01118680688,aya1,sheren,Mariem,CMP_LAB4,01118809880,WE_41B884,El-modarag,STUDBME2,Avaya,C_H_S_4,C_H_S_2,AndroidAP3AA9,AG,Gamil,ATHAR,STUDBME1,Orange-,Dlink,01146880660,01141472186,CMP_LAB3,CMP_LAB1,CMP_LAB2,C_H_S,C_H_S_3,location
-69,-86,-100,-60,-65,-100,-90,-65,-100,-72,-100,-79,-100,-39,-81,-79,-100,-70,-100,-87,-100,-86,-74,-100,-75,-78,-100,HW 23
-73,-87,-100,-56,-76,-100,-88,-71,-72,-65,-100,-100,-84,-41,-79,-100,-100,-100,-100,-100,-86,-80,-76,-100,-100,-88,-100,HW 23
-77,-85,-74,-55,-78,-100,-92,-73,-74,-71,-100,-85,-82,-46,-77,-100,-88,-69,-100,-100,-91,-85,-100,-82,-100,-100,-100,HW 23
-77,-100,-72,-53,-72,-100,-89,-82,-75,-79,-100,-83,-84,-34,-85,-100,-100,-66,-100,-100,-86,-100,-100,-100,-83,-86,-100,HW 23
-78,-84,-75,-50,-100,-100,-87,-73,-69,-77,-100,-100,-100,-45,-86,-100,-100,-100,-100,-100,-92,-78,-87,-84,-100,-100,-100,HW 23
-64,-84,-67,-55,-86,-100,-75,-77,-69,-79,-100,-85,-100,-42,-100,-83,-100,-77,-100,-100,-82,-79,-100,-100,-100,-100,-100,HW 23
-64,-83,-69,-63,-100,-81,-84,-73,-100,-70,-100,-100,-100,-47,-85,-100,-100,-100,-100,-87,-84,-84,-84,-100,-86,-100,-100,HW 23
-69,-85,-100,-51,-84,-100,-82,-72,-70,-71,-100,-100,-100,-37,-84,-100,-100,-67,-100,-88,-84,-81,-100,-100,-100,-100,-84,HW 23
-71,-82,-66,-54,-74,-100,-81,-81,-68,-75,-100,-100,-100,-37,-100,-100,-100,-61,-100,-84,-100,-78,-100,-100,-81,-100,-100,HW 23
-70,-87,-69,-50,-100,-100,-85,-75,-100,-77,-100,-100,-100,-37,-83,-82,-100,-100,-100,-89,-87,-84,-82,-100,-100,-80,-100,HW 23
