WE_41B884,aya1,Alaa1,Gamil,OPPO F9,STUDBME1,Mariem,CMP_LAB3,Alariny,CMP_LAB4,sheren,ARC3,youssef,El-modarag,STUDBME2,C_H_S,AndroidAP3AA9,Sbme-Staff,AG,CMP_LAB1,CMP_LAB2,Farouk,C_H_S_3,Alaa,redmi,Avaya,ARC1,C_H_S_4,RehabLab,El-lab,C_H_S_2,location
-62,-81,-80,-100,-88,-44,-53,-68,-85,-100,-100,-63,-87,-62,-51,-100,-40,-100,-68,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,HW 12
-61,-81,-88,-77,-91,-47,-60,-66,-100,-100,-76,-63,-78,-66,-54,-100,-49,-100,-100,-100,-100,-100,-74,-73,-100,-100,-100,-75,-100,-100,-75,HW 12
-56,-77,-83,-75,-81,-50,-57,-67,-75,-69,-100,-70,-83,-68,-54,-76,-48,-100,-74,-67,-66,-70,-100,-100,-100,-100,-100,-77,-100,-100,-77,HW 12
-58,-100,-100,-82,-79,-45,-61,-59,-100,-60,-100,-100,-80,-66,-51,-100,-46,-100,-100,-62,-61,-100,-80,-82,-95,-91,-100,-100,-82,-100,-100,HW 12
-59,-75,-86,-67,-100,-41,-56,-100,-100,-100,-100,-100,-83,-100,-57,-100,-47,-81,-70,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,HW 12
-71,-100,-85,-63,-100,-38,-56,-100,-100,-100,-100,-68,-100,-63,-69,-100,-45,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,HW 12
-55,-100,-100,-65,-100,-42,-54,-100,-100,-100,-100,-100,-84,-63,-63,-100,-33,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-65,-81,-100,-68,-100,-43,-100,-100,-100,-100,-100,-73,-82,-70,-64,-100,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,HW 12
-67,-86,-87,-68,-91,-43,-54,-100,-100,-100,-76,-68,-89,-60,-64,-100,-39,-76,-78,-100,-100,-100,-82,-89,-91,-100,-100,-100,-100,-100,-85,HW 12
-71,-100,-100,-100,-100,-41,-56,-72,-100,-100,-100,-65,-85,-69,-71,-100,-42,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-64,-100,-78,-70,-89,-49,-55,-100,-100,-100,-100,-65,-100,-66,-54,-100,-50,-100,-69,-100,-100,-100,-76,-73,-100,-100,-100,-100,-100,-100,-100,HW 12
-60,-100,-78,-62,-100,-37,-100,-100,-100,-100,-100,-64,-89,-63,-64,-78,-38,-74,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-66,-85,-90,-69,-95,-47,-62,-100,-100,-100,-100,-66,-89,-62,-72,-100,-43,-75,-100,-100,-73,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,HW 12
-67,-86,-82,-67,-92,-49,-52,-68,-100,-100,-100,-71,-88,-100,-72,-74,-44,-100,-71,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-70,-90,-84,-68,-94,-48,-64,-100,-100,-100,-100,-58,-100,-100,-71,-100,-49,-80,-69,-100,-70,-100,-100,-100,-91,-100,-100,-77,-100,-100,-100,HW 12
-72,-85,-89,-72,-91,-45,-57,-77,-90,-69,-100,-58,-86,-67,-67,-75,-43,-100,-100,-68,-70,-82,-100,-100,-100,-90,-100,-100,-100,-100,-75,HW 12
