WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,location
-65,-100.0,-56,-100,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-82,-77.0,-79,-100,-75.0,-66.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-51,-100.0,-52,-100,-100.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-84.0,-87.0,-100.0,-100.0,-100.0,9
-57,-100.0,-59,-100,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-45.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-73,-80.0,-69,-100,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-72,-100.0,-74,-100,-80.0,-68.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-44,-91.0,-48,-100,-100.0,-59.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-68,-75.0,-68,-72,-75.0,-69.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,8
-67,-100.0,-71,-100,-65.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,5
-53,-100.0,-48,-56,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
